"","X","Date","Price","Text","bing_score","nrc_score","afin_score"
"87",87,"2010-04-22",84.58,"melania and i will be appearing on the view tomorrow at a m on cbs tune in for some great fun ",1,1,1
"91",91,"2010-04-29",86.82,"melania will be on qvc tomorrow night at p m et to introduce her beautiful and inspiring melania timepieces fashion jewelry collection ",1,1,1
"92",92,"2010-04-30",86.19,"be sure to look for my beautiful wife melania trump tonight on qvc at pm et where she will be debuting her fantastic jewelry collection ",1,1,1
"96",96,"2010-05-05",82.31,"we re all very happy to hear of bret michael s progress and send our best wishes for his full recovery ",1,1,1
"103",103,"2010-05-24",69.62,"congratulations to bret michaels the new celebrity apprentice bret s a true champion all of us were happy to see him and to see him win ",1,1,1
"107",107,"2010-05-26",70.59,"the north coast of scotland is spectacular the sea the sand dunes the rolling bluffs we walked the course and it is fantastic ",1,1,1
"108",108,"2010-05-27",73.56,"the dunes here are amazing and they re how i learned about geomorphology which is the study of movement landforms we ve had a great trip",1,1,1
"109",109,"2010-05-28",73,"wishing everyone a happy memorial day weekend with a special thought for all the veterans who have done so much for our freedom ",1,1,1
"110",110,"2010-06-02",72.78,"i ll be turning the table on larry king this saturday night i ll be interviewing him in honor of the th anniversary of his show ",1,1,1
"114",114,"2010-06-08",71.43,"i am honored to be chosen by gray line for their ny ride of fame campaign today we had the ribbon cutting ceremony in front of trump tower ",1,1,1
"116",116,"2010-06-09",73.68,"rima fakih our beautiful miss usa rode with me on the gray line ride of fame yesterday ",1,1,1
"117",117,"2010-06-10",74.33,"wsj covers ride of fame ",1,1,1
"119",119,"2010-06-15",75.29,"had a fantastic dinner last night at quattro in the trump soho hotel it s already one of the hottest new restaurants in the city ",1,1,1
"128",128,"2010-07-02",71.75,"wishing everyone a wonderful independence day weekend we have a lot to be thankful for ",1,1,1
"134",134,"2010-07-19",76.29,"visited some very beautiful golf courses this weekend this is one ",1,1,1
"135",135,"2010-07-20",76.31,"i m proud to accept the hollyrod foundation humanitarian award from holly robinson peete who raised on celebrity apprentice",1,1,1
"140",140,"2010-08-04",83.76,"the miss universe pageant will be on august p m on nbc et with bret michaels and natalie morales to co host live from las vegas",-1,1,-1
"141",141,"2010-08-04",83.76,"performing live on the miss universe pageant from the mandalay bay resort casino will be telemundo orianthi john legend and the roots ",-1,-1,-1
"144",144,"2010-08-12",76.63,"check out the last webisode www youtube com user mattressserta in our part series featuring me with serta which one was your favorite ",1,1,1
"145",145,"2010-08-12",76.63,"check out the last webisode in our part series featuring me with serta which one was your favorite www youtube com user mattressserta",1,1,1
"148",148,"2010-08-12",76.63,"friday is the last day to enter the counting sheep for hire contest click here www youtube com user mattressserta and you could win a trip",1,1,1
"149",149,"2010-08-19",74.84,"the original apprentice returns with a two hour premiere on thursday september th looking forward to a fantastic season ",1,1,1
"151",151,"2010-08-23",73.08,"it s going to get hotter in las vegas tonight watch the miss universe pageant tonight on nbc at p m i m looking forward to being there ",-1,1,-1
"153",153,"2010-08-26",74.5,"the miss universe pageant raked in some great ratings a great job by everyone ",-1,1,1
"160",160,"2010-09-07",75.78,"i was invited by caroline wozniacki to sit with her family in her special box during her match at the u s open yesterday she s fantastic ",1,1,1
"162",162,"2010-09-14",78.89,"i am very happy to have the civilian version of the apprentice back on the air this fall there will be excitement as well as opportunity ",1,1,1
"163",163,"2010-09-15",78.46,"eric did a great job with his eric trump foundation annual charity outing i m proud of him ",1,1,1
"168",168,"2010-09-30",80.77,"tune in tonight at pm on nbc for another exciting episode of the apprentice and see the dog whisperer make an appearance ",1,1,1
"170",170,"2010-10-06",85.01,"i m honored to be presented the award of doctor of business administration honoris causa from robert gordon university in aberdeen scotland",1,1,1
"171",171,"2010-10-07",83.67,"don t forget to tune in tonight for another exciting episode of the apprentice p m on nbc ",1,1,1
"172",172,"2010-10-07",83.67,"scotland is beautiful and trump internatonal golf links scotland is progressing beautifully as well ",1,1,1
"173",173,"2010-10-14",83.55,"be sure to watch the apprentice tonight p m on nbc it s an episode you won t forget ",1,-1,1
"176",176,"2010-10-27",81.27,"be prepared for a sensational episode of the apprentice tomorrow night pm on nbc ",1,1,1
"184",184,"2010-11-22",82.34,"staff sgt salvatore a giunta received the medal of honor from pres obama this month it was a great honor to have him visit me today ",1,1,1
"185",185,"2010-11-24",84.53,"my best wishes to everyone for a happy thanksgiving ",1,1,1
"189",189,"2010-12-02",89.37,"tonight s episode of the apprentice is one of the best ever we re down to the final and it s high excitement all the way pm on nbc ",1,1,1
"191",191,"2010-12-10",89.54,"congratulations to brandy as our new apprentice and to clint for being a great player it s been a terrific season ",1,-1,1
"192",192,"2010-12-13",90.4,"all the hotels currently open in the trump hotel collection have been nominated for travel leisure s world s best awards ",1,1,1
"196",196,"2010-12-16",91.09,"don t forget to watch larry king tonight cnn at pm he s a television legend and a great friend it s going to be a fantastic farewell ",1,1,1
"197",197,"2010-12-23",93.63,"wishing everyone a very happy holiday season ",1,1,1
"198",198,"2010-12-30",92.5,"wishing everyone a happy healthy and prosperous new year ",1,1,1
"208",208,"2011-02-07",99.44,"be sure to watch oprah today pm on channel i ll be on with my entire family and it will be an entertaining hour ",1,1,1
"214",214,"2011-02-16",102.78,"the westminster dog show asked if i d be interested in meeting hickory a scottish deerhound who won best in show she came to visit today ",1,1,1
"221",221,"2011-02-28",112.27,"coming up in march the comedy central roast of donald trump march mark your calendars ",1,1,1
"225",225,"2011-03-02",116.89,"i was on the today show this morning and then visited regis kelly the celebrity apprentice starts this sunday night don t miss it ",-1,1,-1
"228",228,"2011-03-07",116.58,"mark it on your calendar comedy central roast march th at pm for the roast of trump ",1,1,1
"237",237,"2011-03-15",111.11,"check out the trump fabulous world of golf site to meet the fazio family master golf course designers ",1,1,1
"246",246,"2011-03-18",114.13,"don t forget the celebrity apprentice sunday night at pm on nbc for another surprising and exciting episode ",1,1,1
"260",260,"2011-04-01",118.63,"be sure to watch the celebrity apprentice on sunday at pm on nbc it s an episode you ll want to see and one you won t forget ",1,-1,1
"268",268,"2011-05-13",113.08,"guests are raving about our exclusive hotel mattress and so we ve made it available for purchase ",-1,-1,1
"269",269,"2011-05-16",113.72,"ny jets center nick mangold interns for trump watch trump s fabulous world of golf tonight pm et on golf channel",1,1,1
"273",273,"2011-05-20",111.25,"get ready for some excitement the live finale of the celebrity apprentice is on this sunday night don t miss it ",1,1,1
"276",276,"2011-05-26",115.06," therealmissusa and the contestants stopped by trump tower yesterday watch the video ",1,1,-1
"277",277,"2011-05-27",114.85,"wishing everyone a happy memorial day and a thank you to all the soldiers who protected our great country ",1,1,1
"286",286,"2011-06-16",114.69,"don t forget the miss usa pageant live on sunday night at pm et on nbc and you can vote for your favorite beauty ",1,1,-1
"289",289,"2011-06-21",112.02,"congratulations to the miss usa pageant it was the telecast of the night among abc cbs nbc and fox a great show and a huge success ",1,1,1
"295",295,"2011-07-01",109.82,"wishing everyone a wonderful independence day holiday weekend a great celebration for a great country ",1,1,1
"296",296,"2011-07-05",113.21,"tomorrow we ll be going to panama for the opening of our new hotel it s a fantastic building in a fantastic location ",1,1,1
"298",298,"2011-07-06",113.55,"congress is back time to cut cap and balance there is no revenue problem the debt limit cannot be raised until obama spending is contained ",-1,-1,-1
"300",300,"2011-07-07",117.4,"the art of the deal the best thing you can do is deal from strength and leverage is the biggest strength you have cut cap and balance ",1,1,1
"301",301,"2011-07-07",117.4,"if only obama was as focused on balancing the budget as he is on weakening israel s borders then america would be on the path to solvency ",-1,1,1
"302",302,"2011-07-08",117.4,"obamacare tragedy primed to further explode the deficit ",-1,-1,-1
"303",303,"2011-07-08",117.4," johnboehner message for house gop the worst thing you can possibly do in a deal is seem desperate to make it the art of the deal ",-1,1,-1
"304",304,"2011-07-08",117.4,"house gop wants to cut medicare obama took billion from medicare for obamacare both wrong ",-1,-1,-1
"305",305,"2011-07-08",117.4," obama iranian weapons killing americans in iraq what are u doing about this ",-1,-1,-1
"311",311,"2011-07-13",118.46,"more thoughts on the debt ceiling in today s trumpvlog ",-1,-1,-1
"315",315,"2011-07-14",117.38,"us news named the top best hotels in the us and trump int l hotel tower nyc and trump int l hotel tower chicago are on the list ",1,1,1
"318",318,"2011-07-14",117.38," johnboehner debt ceiling sometimes no deal is better than a bad deal ",-1,-1,-1
"326",326,"2011-07-18",117.05,"the gop doesn t waste an opportunity to waste an opportunity defunding obamacare should be central to any deal ",-1,1,1
"327",327,"2011-07-18",117.05,"congratulations to my daughter ivanka and her husband jared on the birth of their daughter arabella rose yesterday ",1,1,1
"330",330,"2011-07-19",118.18,"so china is ordering us to raise the debt limit how low have we as a nation sunk ",-1,-1,-1
"331",331,"2011-07-20",118.52,"robust economic growth is the answer to the medicare problem not cuts on the elderly ",1,1,1
"333",333,"2011-07-20",118.52," china is our enemy they want to destroy us redstate interview",-1,-1,-1
"334",334,"2011-07-21",118.25," the gang of six yet another unmitigated disaster any deal needs to repeal obamacare t e a ",-1,-1,-1
"335",335,"2011-07-22",118.99," increasing america s debt weakens us domestically and internationally us senator barackobama ",-1,-1,-1
"339",339,"2011-07-25",118.27,"the pressure on the debt ceiling is on barackobama ",-1,-1,-1
"341",341,"2011-07-25",118.27,"the answer to both social security and medicare is a robust growing economy not cuts on the elderly ",1,1,1
"343",343,"2011-07-26",118.14,"obama sadly has no business or private sector background and it shows ",-1,-1,-1
"345",345,"2011-07-26",118.14,"fiscal mismanagement of cash costing us taxpayer billions cut fraud and waste before cutting funding for seniors ",-1,-1,-1
"347",347,"2011-07-27",117.99,"higher taxes kill job creation cut wild government spending and waste ",-1,-1,-1
"348",348,"2011-07-27",117.99,"people ask me every day to pose for pictures but the camera never works the first time they are never prepared or maybe just very nervous ",-1,-1,-1
"350",350,"2011-07-27",117.99,"watch my wife melania trump tonight on qvc at a m so proud of her ",1,1,1
"352",352,"2011-07-28",118.16," barackobama has not released his own debt plan yet he s totally lost ineffective desperate gop has its best chance to make a great deal",-1,-1,-1
"353",353,"2011-07-28",118.16," karlrove s crossroadsgps new ad criticizes obama for his excessive spending and debt borrowing from china didn t bush do the same thing ",-1,-1,-1
"356",356,"2011-07-28",118.16,"my interview yesterday from newsmax obama is now totally lost boehner must not fold ",-1,-1,-1
"357",357,"2011-07-28",118.16," johnboehner the worst thing you can possibly do in a deal is seem desperate to make it the art of the deal",-1,1,-1
"358",358,"2011-07-29",115.93,"blue ribbon commission to find and agree to future spending cuts bad idea ",-1,1,-1
"359",359,"2011-07-29",115.93,"no taxes in boehner or reid plan important victory for america ",1,1,1
"364",364,"2011-07-29",115.93,"i just got mike leach s new book swing your sword he s a great coach and he s written a great book it s definitely worth reading ",1,1,1
"365",365,"2011-07-30",115.93,"ex presidential pollster pat cadell says most voters sick of both parties and their failure ",-1,-1,-1
"367",367,"2011-08-01",116.37,"disappointed in gop and dems giving obama power to raise the debt limit next year is a mistake ",-1,-1,-1
"368",368,"2011-08-01",116.37,"why should we have any defense cuts in any deal america must remain strong ",1,1,1
"376",376,"2011-08-03",113.74,"i believe america can be great only with proper leadership ",1,1,1
"379",379,"2011-08-03",113.74,"republicans gave obama a free pass to the white house they just don t get it ",1,1,1
"381",381,"2011-08-03",113.74,"morning joe panel is stealing many of my statements and ideas to better america without giving credit the story of my life ",-1,1,1
"386",386,"2011-08-04",110.22,"china demanded that we raise our debt ceiling and then their rating agency downgraded us our leaders are hope cont ",-1,-1,-1
"387",387,"2011-08-05",106.92,"in today s trumpvlog i answer your questions about what you should be doing in this uncertain economy ",-1,-1,-1
"390",390,"2011-08-08",103.06,"the s p downgrade is a direct result of barackobama s increased reckless budget spending and obama care he owns this ",-1,-1,1
"394",394,"2011-08-09",103.63,"the s p are losers they did this for personal publicity in order to straighten out their terrible reputatio cont ",-1,-1,-1
"397",397,"2011-08-10",103.84,"the fed continues to flood the market with us dollars wrong move ",-1,-1,-1
"408",408,"2011-08-13",108.17,"ron paul is right that we are wasting trillions of dollars in iraq and afghanistan ",-1,-1,-1
"409",409,"2011-08-13",108.17,"mike huckebee a great guy said the president should appoint me treasury secretary china and opec would not be happy ",1,1,1
"411",411,"2011-08-15",108.89,"unemployment is plaguing both black and hispanic youths very troubling ",-1,-1,-1
"413",413,"2011-08-15",108.89," barackobama played golf yesterday now he heads to a day vacation in martha s vineyard nice work ethic ",1,1,1
"421",421,"2011-08-17",111.37,"my interview with gretawire on fox news for those who missed it obama s constantly on vacation ",-1,1,-1
"423",423,"2011-08-18",108.36," macmiller will enjoy today s trumpvlog ",1,1,1
"426",426,"2011-08-18",108.36,"insurgents in iraq show they can still mount horrifying attacks us wastes trillions ",-1,-1,-1
"428",428,"2011-08-19",109.37," barackobama is sure a master delegator he has sent joe biden to china the chinese are laughing at us we must do better ",1,1,1
"432",432,"2011-08-22",108.83,"we don t need another stimulus the first one was a complete failure why repeat the same mistake ",-1,-1,-1
"433",433,"2011-08-23",110.35," ronpaul has some serious ideas which deserve serious consideration wrong for media to ignore him ",-1,-1,-1
"436",436,"2011-08-23",110.35,"as bad as qaddafi was what comes next in libya will be worse just watch ",-1,-1,-1
"440",440,"2011-08-25",111.91," barackobama inherited trillion in national debt will leave after his first term with the debt at over trillion ",-1,-1,-1
"441",441,"2011-08-25",111.91,"china s corporate espionage is a continued threat to the american economy with the right leadership it can be stopped ",-1,-1,-1
"442",442,"2011-08-25",111.91,"i m very proud of the work my son erictrump has been doing with the erictrumpfdn take a look ",1,1,1
"448",448,"2011-08-26",112.29,"libyan rebels should have given us of the oil in return for our military support we don t even ask ",1,1,1
"461",461,"2011-09-01",116.43,"make no mistake fast and furious goes all the way to the white house ",-1,-1,-1
"462",462,"2011-09-01",116.43,"we must stand firm against the un s ploy to sabotage israel if the un grants the pa statehood then we must immediately defund it ",-1,-1,-1
"463",463,"2011-09-01",116.43," barackobama is so inept that i think he simply made a mistake in originally scheduling the joint session on september th just sad ",-1,-1,-1
"466",466,"2011-09-02",115.92,"fast and furious put semi automatics in the hands of mexican drug lords that killed americans barackobama should answer all questions ",-1,-1,-1
"473",473,"2011-09-07",117.5,"a robust growing economy is how to fix social security and medicare not cuts on seniors ",1,1,1
"477",477,"2011-09-08",117.99," ivankatrump always makes me proud ",1,1,1
"478",478,"2011-09-08",117.99,"china is happy to learn that barackobama plans to borrow another billion barackobama is their favorite client ",1,1,1
"482",482,"2011-09-08",117.99,"why is the un planning to attack israel s sovereignty and ignore iran s nuclear program the us should look at future funding ",-1,-1,-1
"485",485,"2011-09-09",115.1,"i watched potus speech from europe same old tax and spend won t create jobs ",1,1,1
"486",486,"2011-09-12",114.75,"very exciting i will be at macy s herald square this wednesday at pm to celebrate the launch of trump home crystal ",1,1,1
"495",495,"2011-09-13",114.08,"i m very proud of my new crystal collection here s a sneak peak of my favorite collection elmsford ",1,1,1
"497",497,"2011-09-13",114.08," barackobama will hear loud and clear today the message ny is sending by electing bobturner th israel is our friend and ally ",-1,1,1
"499",499,"2011-09-13",114.08,"the white house is continuing to be openly uncooperative with the fast and furious investigation american lives were lost we need answers ",-1,-1,-1
"504",504,"2011-09-14",113.1,"bob turner great guy great businessman will be a great congressman was happy to help him win ",1,1,1
"507",507,"2011-09-15",116.71,"had dinner with rickperry last night great guy straight shooter impressive record ",1,1,1
"509",509,"2011-09-15",116.71,"the solyndra scandal barackobama s million photo op he loves wasting our money ",-1,-1,-1
"510",510,"2011-09-16",116.26," barackobama honored and excited to be listed on attackwatch thanks btw where are the jobs donald ",1,1,1
"512",512,"2011-09-16",116.26," barackobama great job on solyndra you are some extremely skilled venture capitalist stick to the memoirs and speeches ",1,1,1
"515",515,"2011-09-16",116.26,"i applaud netanyahu for announcing that he will show up at the un to defend israel a true us friend and great leader ",1,1,1
"525",525,"2011-09-20",114.39,"sorry i will miss the cpac gathering in orlando there in spirit obama must go ",-1,1,-1
"527",527,"2011-09-21",114.26,"our next president must stop china s rip off of america ",-1,1,-1
"530",530,"2011-09-21",114.26,"australia is a beautiful country with terrific people who love america ",1,1,1
"532",532,"2011-09-22",109.21,"now is no time to cut military spending we must remain strong our enemies are looking for weakness i m i cont ",-1,-1,-1
"533",533,"2011-09-22",109.21," erictrump is doing a great job on completing our new trump winery in virginia ",1,1,1
"534",534,"2011-09-22",109.21,"government waste fraud and abuse should be immediately addressed this will help solve our deficit crisis both short and long term ",-1,-1,-1
"535",535,"2011-09-22",109.21,"i couldn t make the faith and freedom confab in orlando so i sent a video ",1,1,1
"540",540,"2011-09-26",107.9,"our country s debt crisis cannot be solved by tax increases we must cut government spending ",-1,-1,-1
"542",542,"2011-09-27",109.54,"a great interview of donaldjtrumpjr in the globeandmail on trump tower toronto ",1,1,1
"544",544,"2011-09-27",109.54,"it seems barackobama had our tax dollars buy guns for mexican drug lords that were used to kill americans we need answers now ",-1,-1,-1
"547",547,"2011-09-28",108.52,"china is stealing our jobs we need to demand china stop manipulating its currency and end its rampant corporate espionage ",-1,-1,-1
"548",548,"2011-09-28",108.52,"great interview in postedtoronto of donaldjtrumpjr he makes me proud ",1,1,1
"549",549,"2011-09-28",108.52,"happy new year to all my jewish friends ",1,1,1
"552",552,"2011-09-28",108.52," sleepy chuck todd of nbc falls far short of the late great tim russert ",-1,-1,1
"554",554,"2011-09-28",108.52,"the erictrumpfdn golf invitational featuring a performance by bretmichaels was a great event enjoy the video ",1,1,1
"556",556,"2011-09-29",107.08,"a simplified tax code would spur economic growth and help create jobs unfortunately washington is incapable of simplifying anything ",1,1,1
"557",557,"2011-09-29",107.08,"china does not negotiate from a position of strength we simply negotiate against ourselves we have all the advantages but don t execute ",1,1,1
"558",558,"2011-09-29",107.08,"the only way for medicare and social security to remain solvent is if our economy is healthy barackobama doesn t get it ",1,1,1
"559",559,"2011-09-29",107.08,"really bad ratings for lawrence o donnell on msnbc o reilly is killing him ",-1,-1,-1
"561",561,"2011-09-29",107.08,"the fed s reckless policies of low interest and flooding the market with dollars needs to be stopped or we will face record inflation ",-1,-1,-1
"562",562,"2011-09-29",107.08," jonhuntsman has zero chance of getting the nomination whoever said i wanted to meet him time is money and i don t waste mine ",-1,1,1
"564",564,"2011-09-30",105.42," vpbiden is actually right for once biden voters should blame obama not bush for economy ",-1,-1,-1
"582",582,"2011-10-04",101.84,"great meeting with thehermancain yesterday in trump tower great guy ",1,1,1
"584",584,"2011-10-04",101.84,"looking forward to visiting the trump vineyard estates today in charlottesville va for a press conference and the grand opening ",1,1,1
"585",585,"2011-10-04",101.84,"our national debt has grown by and a gallon of gas has doubled so far under barackobama he is a disaster ",-1,-1,-1
"586",586,"2011-10-05",103.77," barackobama sold guns to the mexican drug cartels they were used in the murders of americans where is the outrage ",-1,-1,-1
"587",587,"2011-10-05",103.77," barackobama now says that he is an underdog in america should be so lucky we still need a solid candidate ",1,1,1
"589",589,"2011-10-06",104.38,"why is the un condemning israel and doing nothing about syria what a disgrace ",-1,-1,-1
"590",590,"2011-10-06",104.38,"washington is wasting over billion this year on solyndra type loans yet they want to cut military spending ",-1,-1,-1
"591",591,"2011-10-06",104.38,"china is threatening washington over the currency bill we should pass it immediately ",-1,-1,-1
"592",592,"2011-10-07",106.56," barackobama is trying to pass another stimulus after the first was a complete failure does he really believe we are that stupid ",-1,-1,-1
"593",593,"2011-10-07",106.56,"i have traveled the world america is the most beautiful country on earth ",1,1,1
"598",598,"2011-10-11",109.22,"i don t want to be the only billionaire in america i want all americans to be rich ",1,1,1
"602",602,"2011-10-11",109.22,"the only way to spread economic growth is to lower taxes and end unfriendly regulatory practices ",-1,-1,1
"605",605,"2011-10-12",112.44,"the debate was very interesting last night there were numerous winners and governor romney did very well ",1,1,1
"609",609,"2011-10-14",114.33,"my foxnews interview on gretawire discussing the china curse ",-1,-1,-1
"610",610,"2011-10-14",114.33,"stop the china curse pass the chinese currency bill ",-1,-1,-1
"614",614,"2011-10-16",114.33,"be sure to watch my wonderful wife melania trump tonight on qvc at am est",1,1,1
"615",615,"2011-10-17",112.92,"happy to have passed followers looking forward to passing m sooner than later ",1,1,1
"617",617,"2011-10-17",112.92,"china s military buildup is a major threat to the free world we must remain resolute and maintain our national defense at all costs ",1,1,1
"619",619,"2011-10-17",112.92," johnboehner stop the china curse pass the china currency bill ",-1,-1,-1
"627",627,"2011-10-18",112.08,"it is time for iran to face serious consequences this regime is a threat to our national security ",-1,-1,-1
"628",628,"2011-10-19",111.76,"both barackobama and china have embraced ows all want the decline of america time for the protesters to go home ",-1,-1,-1
"629",629,"2011-10-19",111.76," everyone makes mistakes but it s what you do with them and what you learn from them that matters midas touch",-1,1,-1
"632",632,"2011-10-19",111.76,"my foxnews interview last night on hannityshow discussing ows and barackobama s incompetent leadership ",-1,-1,-1
"633",633,"2011-10-20",109,"my beautiful wife melania will be appearing on qvc this evening from to pm ",1,1,1
"639",639,"2011-10-20",109,"bob beckel a commentator for fox is bad for the foxnews brand bobbeckel is close to incompetent ",-1,-1,-1
"640",640,"2011-10-20",109,"my thoughts on gadhafi s death barackobama and the misery index ",-1,-1,-1
"642",642,"2011-10-21",111.6,"why do we continue to sit idly by while china steals our national security and corporate secrets china is an enemy not a friend ",-1,1,-1
"646",646,"2011-10-21",111.6,"the misery index is at a year high ",-1,-1,-1
"647",647,"2011-10-24",111.67,"we are leaving iraq after expending a tremendous amount of blood and treasure we should be reimbursed with oil don t give it to iran ",1,1,1
"649",649,"2011-10-24",111.67,"the job plan by barackobama is nothing more than a second stimulus the first failed and so will this one ",-1,1,-1
"655",655,"2011-10-25",112.11,"why does the federal government send foreign aid to china unbelievable washington is financing america s de cont ",-1,-1,-1
"662",662,"2011-10-26",110.43,"when will washington stand up to china china is manipulating its currency and stealing our jobs washington should move on legislation ",-1,-1,-1
"664",664,"2011-10-26",110.43,"why aren t we getting any oil from iraq before we leave we are leaving the country wide open for iran big mistake ",-1,-1,-1
"666",666,"2011-10-26",110.43,"i am happy to see the majority of the gop candidates agree with me that the tax code must be simplified and the rates dropped ",1,1,1
"667",667,"2011-10-27",112.45,"the debt is our nation s greatest threat barackobama is out of touch ",-1,-1,-1
"668",668,"2011-10-27",112.45,"watch me tonight at pm et on cnn full hour piersmorgan won apprenticenbc before taking over larry king s slot should be interesting ",1,1,1
"671",671,"2011-10-27",112.45,"our worst threat to unemployment is obamacare it will also destroy our country s basic standards ",-1,-1,-1
"673",673,"2011-10-28",110.01,"my interview yesterday with teamcavuto discussing europe s debt deal and the gop primary ",-1,1,-1
"683",683,"2011-11-02",110.82,"another company that the doe has given money to just filed for bankruptcy this is how the money we borrow at from china is wasted ",-1,-1,-1
"684",684,"2011-11-02",110.82,"the economy won t fully recover until obamacare is fully repealed it is a job killer ",1,1,1
"685",685,"2011-11-02",110.82,"egypt s muslim brotherhood just made its first visit to hamas led gaza why did barackobama promote the arab spring ",1,1,1
"688",688,"2011-11-02",110.82,"the greatest threat to our security is our debt it is already past gdp we need to make real budget cuts ",-1,-1,-1
"697",697,"2011-11-08",115.61,"a record high of americans are living in extreme poverty this is tragic we can do better ",-1,-1,-1
"698",698,"2011-11-08",115.61,"our deficits are caused by runaway spending not inadequate taxing washington does not have a revenue problem ",-1,-1,-1
"699",699,"2011-11-08",115.61,"the federal government spent over trillion last year this is unsustainable and a true danger the american dream is being destroyed ",-1,-1,-1
"700",700,"2011-11-08",115.61,"reporter alhunt is one boring and low vision guy ",-1,1,-1
"704",704,"2011-11-09",115.29,"the supercommittee will fail the republicans never should have agreed to the debt deal ",-1,1,-1
"708",708,"2011-11-10",113.32,"the fed should not bail out the eu europe s financial mess is their problem not our problem ",-1,-1,-1
"709",709,"2011-11-10",113.32,"the debate barackobama s mic and my endorsement in today s trumpvlog ",1,1,1
"710",710,"2011-11-10",113.32,"the death tax should be abolished the government is simply taxing you twice it is also a job killer ",-1,-1,-1
